"freq","class","sub_class","name","tooltip","alias","ignore"
93,"ORG","Foundation","Principle Power","Principle Power (ORG:Foundation)","Principle Power",FALSE
93,"ORG","Services","ENGIE","ENGIE Fabricom (ORG:Services)","\bENGIE( Fabricom)?|GDF Suez|GDF SUEZ",FALSE
92,"ORG","Training","AIS","Automatic Identification System (ORG:Training)","Automated Information (S|s)ystem(s)?|\bAIS\b",FALSE
92,"ORG","Others","Wave Hub","Wave Hub (ORG:Others)","Wave Hub",FALSE
92,"ORG","Engineering","Acta Marine","Acta Marine (ORG:Engineering)","Acta Marine",FALSE
90,"ORG","Consultant","Natural Power","Natural Power (ORG:Consultant)","Natural Power",FALSE
90,"ORG","Engineering","JFMS","James Fisher Marine Services (ORG:Engineering)","James Fisher Marine Services|\bJFMS\b",FALSE
88,"ORG","Services","DCNS","Green Investment Bank UK (ORG:Services)","Naval Group|\bDCNS\b",FALSE
88,"ORG","Others","LR","Lloyd's Register (ORG:Others)","Lloyd's Register( \(LR\))?|\bLR\b",FALSE
87,"ORG","Others","AMSC","American Superconductor (ORG:Others)","American Superconductor|\bAMSC\b",FALSE
84,"ORG","Foundation","EEW-SPC","EEW Special Pipe Constructions (ORG:Foundation)","EEW( SPC| Special Pipe Constructions)?",FALSE
84,"ORG","NEW","ESVAGT","ESVAGT (ORG:NEW)","ESVAGT",FALSE
83,"ORG","Cable","NSW","Norddeutsche Seekabelwerke GmbH (ORG:Cable)","Norddeutsche Seekabelwerke GmbH|\bNSW\b",FALSE
83,"ORG","Engineering","DBB","DBB Jack-Up Services (ORG:Engineering)","DBB Jack-Up Services|\bDBB\b",FALSE
81,"ORG","Others","KPS","Kite Power Systems (ORG:Others)","Kite Power Systems|\bKPS\b",FALSE
79,"ORG","Equipment","Barge Master","Barge Master (ORG:Equipment)","Barge Master",FALSE
78,"ORG","Others","Aquamarine Power","Aquamarine Power (ORG:Others)","Aquamarine Power",FALSE
78,"ORG","Engineering","Swire Blue Ocean","Swire Blue Ocean (ORG:Engineering)","Swire Blue Ocean",FALSE
77,"ORG","Engineering","Tidal Transit","Tidal Transit (ORG:Engineering)","Tidal Transit",FALSE
75,"ORG","Engineering","SHI","Samsung Heavy Industries (ORG:Engineering)","Samsung Heavy Industries|\bSHI\b",FALSE
74,"ORG","Monitoring","AXYS","AXYS Technologies Inc. (ORG:Monitoring)","AXYS Technologies Inc\.|\bAXYS\b",FALSE
74,"ORG","Consultant","MAKE","MAKE Consulting (ORG:Consultant)","\bMAKE( Consulting)?",FALSE
74,"ORG","Others","Prysmian Group","Prysmian Group (ORG:Others)","Prysmian Group",FALSE
73,"ORG","Engineering","VSMC","Visser & Smit Marine Contracting (ORG:Engineering)","Visser & Smit Marine Contracting|\bVSMC\b",FALSE
72,"ORG","Equipment","Lockheed Martin","Lockheed Martin (ORG:Equipment)","Lockheed Martin",FALSE
72,"ORG","Turbine","Hitachi","Hitachi (ORG:Turbine)","Hitachi",FALSE
72,"ORG","NEW","Bladt Industries","Bladt Industries (ORG:NEW)","Bladt Industries",FALSE
69,"ORG","NEW","SeaTwirl","SeaTwirl (ORG:NEW)","SeaTwirl",FALSE
68,"ORG","Consultant","ABS","ABS Consulting (ORG:Consultant)","\bABS( Consulting)?",FALSE
68,"ORG","Services","SGS","SGS Renewable Energy (ORG:Services)","\bSGS( Renewable Energy)?",FALSE
68,"ORG","Others","Siemens Energy","Siemens Energy (ORG:Others)","Siemens Energy Management Division|Siemens Energy Sector|Siemens Energy",FALSE
68,"ORG","Engineering","MPI Offshore","MPI Offshore (ORG:Engineering)","MPI Offshore",FALSE
66,"ORG","Engineering","SAL","SAL Heavy Lift (ORG:Engineering)","SAL( Heavy Lift| Offshore)|\bSAL\b",FALSE
65,"ORG","Services","EDS","EDS HV Group (ORG:Services)","\bEDS( HV( Group)?)?",FALSE
64,"ORG","Services","ESS","Energy Skills Scotland (ORG:Services)","Energy Skills Scotland|\bESS\b",FALSE
63,"ORG","Consultant","KIC","KIC InnoEnergy (ORG:Consultant)","\bKIC( InnoEnergy)?",FALSE
63,"ORG","Turbine","Deutsche Windtechnik","Deutsche Windtechnik Ltd (ORG:Turbine)","Deutsche Windtechnik",FALSE
63,"ORG","Engineering","SMST","SMST Designers & Constructors BV (ORG:Engineering)","\bSMST\b",FALSE
63,"ORG","NEW","Dalby Offshore","Dalby Offshore (ORG:NEW)","Dalby Offshore",FALSE
62,"ORG","Foundation","Universal Foundation","Universal Foundation A/S (ORG:Foundation)","Universal Foundation",FALSE
62,"ORG","ShipBuil","ULSTEIN","ULSTEIN GROUP (ORG:ShipBuil)","ULSTEIN( GROUP)?",FALSE
62,"ORG","Equipment","CG","CG Holdings Belgium (ORG:Equipment)","\bCG( [A-Z][a-z]+){0,2}\b",FALSE
62,"ORG","Engineering","OSBIT","OSBIT Power Limited (ORG:Engineering)","OSBIT( Power)?( Limited)?|\bOP\b",FALSE
62,"ORG","Engineering","MMT","MMT AB Sweden (ORG:Engineering)","\bMMT\b",FALSE
61,"ORG","Developer","Mainstream Renewable Power","Mainstream Renewable Power (ORG:Developer)","Mainstream Renewable Power",FALSE
60,"ORG","Equipment","EOLOS","EOLOS Solutions (ORG:Equipment)","EOLOS",FALSE
60,"ORG","NEW","Austal","Austal (ORG:NEW)","\bAustal\b",FALSE
60,"ORG","NEW","Moog","Moog (ORG:NEW)","\bMoog\b",FALSE
59,"ORG","Equipment","APEM","APEM Co. UK (ORG:Equipment)","\bAPEM\b",FALSE
59,"ORG","NEW","SeaZip","SeaZip (ORG:NEW)","SeaZip",FALSE
58,"ORG","Consultant","GICON","GICON Group (ORG:Consultant)","German GICON Group|Floating Offshore Foundation|GICON( (S|F)OF)?",FALSE
57,"ORG","Consultant","LOC","London Offshore Consultants (ORG:Consultant)","London Offshore Consultants|\bLOC( Renewables| Group)?\b",FALSE
57,"ORG","Developer","US Wind","US Wind (ORG:Developer)","US Wind",FALSE
56,"ORG","Equipment","IT Power","IT Power Consulting Ltd. (ORG:Equipment)","IT Power( Consulting)?( Ltd\.)?|\bITP\b",FALSE
56,"ORG","Equipment","MCT","Marine Current Turbines Ltd. (ORG:Equipment)","Marine Current Turbines( Ltd\.?)?|\bMCT\b",FALSE
54,"ORG","Others","Mitsubishi Corporation","Mitsubishi Corporation (ORG:Others)","Mitsubishi Corporation",FALSE
51,"ORG","Engineering","HSM","HSM( Offshore (ORG:Engineering)","\bHSM( Offshore)?",FALSE
49,"ORG","Equipment","Safety Technology","Safety Technology (ORG:Equipment)","Safety Technology",FALSE
48,"ORG","Equipment","AMC","Aluminium Marine Consultants (ORG:Equipment)","Aluminium Marine Consultants|\bAMC\b",FALSE
47,"ORG","PowerCo","IBERDROLA","IBERDROLA Group (ORG:PowerCo)","(Fundaci\S+ )?IBERDROLA (RENOVABLES|Group|INGENI\S+)?",FALSE
47,"ORG","ShipBuil","IOW","South Boats IOW Ltd (ORG:ShipBuil)","\b(South Boats )?IOW(:| Ltd:)?",FALSE
46,"ORG","Services","CS","CS Offshore (ORG:Services)","CS (O|o)ffshore|\bCS\b",FALSE
45,"ORG","Civil","HOCHTIEF","HOCHTIEF Construction (ORG:Civil)","HOCHTIEF( Construction)?",FALSE
45,"ORG","Engineering","Bibby Marine Services","Bibby Marine Services (ORG:Engineering)","Bibby Marine Services",FALSE
45,"ORG","Engineering","ALE","ALE Wind Services (ORG:Engineering)","ALE('s)?",FALSE
43,"ORG","Others","SeaRoc Group","SeaRoc Group (ORG:Others)","SeaRoc Group",FALSE
42,"ORG","Equipment","SMD","Soil Machine Dynamics (ORG:Equipment)","Soil Machine Dynamics( Ltd)?|\bSMD\b",FALSE
42,"ORG","Survey","AW-Energy","AW-Energy (ORG:Survey)","\bAW-Energy\b",FALSE
42,"ORG","PowerCo","Red Rock Power Ltd.","Red Rock Power Ltd. (ORG:PowerCo)","Red Rock Power Ltd.",FALSE
42,"ORG","Others","GRS","Global Renewables Shipbrokers (ORG:Others)","Global Renewables Shipbroker(s)?|\bGRS\b",FALSE
41,"ORG","Others","ORPC","Ocean Renewable Power Company (ORG:Others)","Ocean Renewable Power Company|\bORPC\b",FALSE
41,"ORG","Developer","Nordsee One","Nordsee One (ORG:Developer)","Nordsee One",FALSE
41,"ORG","Services","SMC","Specialist Marine Consultants (ORG:Services)","Specialist Marine Consultants|(Scaldis)? SMC('s)?",FALSE
41,"ORG","PowerCo","ESB","Electricity Supply Board (ORG:PowerCo)","Electricity Supply Board|\bESB\b",FALSE
40,"ORG","Others","BLG","BLG WindEnergy Logistics (ORG:Others)","BLG WindEnergy( Logistics)?|\bBLG\b",FALSE
39,"ORG","Services","3sun Group","3sun Group (ORG:Services)","3sun Group",FALSE
39,"ORG","NEW","SeaEnergy","Sea Energy Company (ORG:NEW)","\bSeaEnergy\b",FALSE
38,"ORG","Blade","GEV","GEV Wind Power (ORG:Blade)","GEV Wind Power('s)?|\bGEV\b",FALSE
38,"ORG","Services","LDA","Louis Dreyfus Armateurs (ORG:Services)","Louis Dreyfus ARMATEURS( Group)?( \(LDA\))?|\bLDA\b",TRUE
36,"ORG","Others","NRG","Renewable NRG Systems (ORG:Others)","Renewable NRG( Systems)|\bNRG\b",FALSE
34,"ORG","Others","Siemens AG","Siemens AG (ORG:Others)","Siemens (AG|Industry)",FALSE
34,"ORG","Engineering","Iceni Marine Services","Iceni Marine Services (ORG:Engineering)","Iceni Marine Services",FALSE
33,"ORG","Consultant","BVG Associates","BVG Associates (ORG:Consultant)","BVG Associates",FALSE
33,"ORG","Services","KCI","KCI (ORG:Services)","KCI",FALSE
33,"ORG","Equipment","XEMC","Xiangtan Electric Manufacturing Corporation (ORG:Equipment)","Xiangdian Wind Energy( \(XEMC\))?|Xiangtan Electric Manufacturing Corporation( Ltd)? |\bXEMC\b",FALSE
33,"ORG","NEW","OutSmart","OutSmart (ORG:NEW)","\bOutSmart\b",FALSE
32,"ORG","Equipment","Hydro Group","Hydro Group (ORG:Equipment)","Hydro Group",FALSE
32,"ORG","Training","Deutsche WindGuard","Deutsche WindGuard (ORG:Training)","Deutsche WindGuard",FALSE
32,"ORG","NEW","Tideland","Tideland Singal (ORG:NEW)","Tideland Signal|Tideland",FALSE
32,"ORG","NEW","Oceanteam","Oceanteam (ORG:NEW)","Oceanteam",FALSE
31,"ORG","NEW","Red7Marine","Red7Marine (ORG:NEW)","Red7Marine",FALSE
30,"ORG","Civil","MT Hojgaard","MT Hojgaard (ORG:Civil)","MT Hojgaard|MT Hojgaard|\bMT\b",FALSE
28,"ORG","PowerCo","Northland Power Inc.","Northland Power Inc. (ORG:PowerCo)","Northland Power Inc.",FALSE
28,"ORG","Survey","Fugro EMU","Fugro EMU (ORG:Survey)","Fugro EMU|\bEMU\b",FALSE
28,"ORG","NEW","OOS","OOS International (ORG:NEW)","OOS International|\bOOS\b",FALSE
27,"ORG","NEW","SKF","SKF (ORG:NEW)","\bSKF\b",FALSE
26,"ORG","Others","Blue Water Shipping","Blue Water Shipping (ORG:Others)","Blue Water Shipping",FALSE
26,"ORG","Services","TAG Energy Solutions","TAG Energy Solutions (ORG:Services)","TAG Energy Solutions",FALSE
26,"ORG","NEW","Anbaric","Anbaric (ORG:NEW)","Anbaric",FALSE
25,"ORG","Engineering","MMS","MMS Offshore Renewable Services Ltd (ORG:Engineering)","MMS Offshore|\bMMS\b",FALSE
25,"ORG","NEW","GCube","GCube (ORG:NEW)","\bGCube\b",FALSE
24,"ORG","Engineering","Reef","Reef Subsea Power & Umbilical (ORG:Engineering)","Reef Subsea Power & Umbilical",FALSE
24,"ORG","Engineering","Mitsubishi","Mitsubishi Heavy Industries (ORG:Engineering)","Mitsubishi Heavy Industries",FALSE
24,"ORG","Civil","BAM","BAM Nuttall (ORG:Civil)","BAM Nuttall|\bBAM\b",FALSE
24,"ORG","NEW","CPNL","CPNL (ORG:NEW)","\bCPNL\b",FALSE
23,"ORG","NEW","Aqualis","AqualisBraemar (ORG:NEW)","AqualisBraemar|Aqualis",FALSE
22,"ORG","Blade","Blade Dynamics","Blade Dynamics (ORG:Blade)","Blade Dynamics",FALSE
22,"ORG","Developer","Nordsee One GmbH","Nordsee One GmbH (ORG:Developer)","Nordsee One GmbH",FALSE
22,"ORG","NEW","FoundOcean","FoundOcean (ORG:NEW)","FoundOcean",FALSE
22,"ORG","NEW","NorSea","NorSea (ORG:NEW)","NorSea",FALSE
21,"ORG","Others","DTU Wind Energy","DTU Wind Energy (ORG:Others)","DTU Wind Energy",FALSE
21,"ORG","NEW","Aubin","Aubin Group (ORG:NEW)","\bAubin\b",FALSE
21,"ORG","NEW","BASF","BASF (ORG:NEW)","\bBASF\b",FALSE
20,"ORG","Consultant","NOF Energy","NOF Energy (ORG:Consultant)","NOF Energy",FALSE
20,"ORG","NEW","APQP4Wind","APQP4Wind (ORG:NEW)","APQP4Wind",FALSE
20,"ORG","NEW","AMBAU","AMBAU (ORG:NEW)","\bAMBAU\b",FALSE
20,"ORG","NEW","WSP","WSP (ORG:NEW)","\bWSP\b",FALSE
20,"ORG","NEW","Polenergia","Polenergia (ORG:NEW)","Polenergia",FALSE
19,"ORG","NEW","Senergy","Senergy (ORG:NEW)","Senergy",FALSE
17,"ORG","Engineering","A&P Group","A&P Group (ORG:Engineering)","A&P Group",FALSE
15,"ORG","NEW","Turner Iceni","Turner Iceni (ORG:NEW)","Turner Iceni",FALSE
14,"ORG","NEW","Northern Offshore Services","Northern Offshore Services (ORG:NEW)","Northern Offshore Services",FALSE
13,"ORG","NEW","AEG","Aeolus Energy Group (ORG:NEW)","Aeolus Energy Group|\bAEG\b",FALSE
11,"ORG","Engineering","Falcon Global","Falcon Global (ORG:Engineering)","Falcon Global( LLC)?",FALSE
11,"ORG","NEW","GE Wind","GE Wind (ORG:NEW)","GE Wind|Alstom Wind",FALSE
6,"ORG","NEW","Zephir","Zephir (ORG:NEW)","Zephir",FALSE
3696,"TERM",NA,"OWF","Offshore Wind Farms (TERM)","((O|o)ffshore )?(W|w)ind (F|f)arms|\bOWF\b",FALSE
3076,"TERM",NA,"Research","Research (TERM)","(R|r)esearch",FALSE
1373,"TERM",NA,"CEO","Chief Executive Officer (TERM)","(C|c)hief (E|e)xecutive (O|o)fficer|\bCEO\b",FALSE
961,"TERM",NA,"Oil & Gas","Oil & Gas (TERM)","Oil (&|and) Gas",TRUE
916,"TERM",NA,"supply chain","supply chain (TERM)","supply chain",TRUE
768,"TERM",NA,"HVDC","High Voltage DC (TERM)","\bHVDC\b",FALSE
723,"TERM",NA,"LiDAR","Light Detection and Ranging Tech. (TERM)","Light Detection and Ranging|(floating |F|B|Sea|DeepC)?LiDAR( technology)?",TRUE
709,"TERM",NA,"OSS","Offshore Substation (TERM)","Offshore Substation?|\bOSS\b",TRUE
700,"TERM",NA,"export cable","export cable (TERM)","export cables?",TRUE
698,"TERM",NA,"Wave Energy","Wave Energy (TERM)","Wave Energy",TRUE
638,"TERM",NA,"marine energy","marine energy (TERM)","marine energy",TRUE
578,"TERM",NA,"tidal energy","tidal energy (TERM)","tidal energy",TRUE
525,"TERM",NA,"joint venture","joint venture (TERM)","(J|j)oint (V|v)enture( \(JV\))?|\bJV\b",FALSE
512,"TERM",NA,"cost reduction","cost reduction (TERM)","cost (reduction|savings?)",TRUE
472,"TERM",NA,"clean energy","clean energy (TERM)","clean energy",TRUE
472,"TERM",NA,"jacket foundation","jacket foundations (TERM)","jacket foundations?",TRUE
453,"TERM",NA,"energy technologies","energy technologies (TERM)","energy technolog(y|ies)",TRUE
452,"TERM",NA,"SWT","SWT turbine Siemens (TERM)","SWT[ 0-9\-\.]+(turbine)?",FALSE
450,"TERM",NA,"power plants","power plants (TERM)","power plants?",TRUE
448,"TERM",NA,"energy production","energy production (TERM)","energy (generation|production)",TRUE
404,"TERM",NA,"submarine cable","submarine cable (TERM)","submarine cables?",TRUE
399,"TERM",NA,"TPs","transition pieces (TERM)","(T|t)ransition (P|p)ieces|\bTPs\b",FALSE
390,"TERM",NA,"subsea cable","subsea cable (TERM)","subsea cables?",TRUE
373,"TERM",NA,"ocean energy","ocean energy (TERM)","ocean energy",TRUE
363,"TERM",NA,"climate change","climate change (TERM)","climate change",TRUE
342,"TERM",NA,"energy sources","energy sources (TERM)","energy sources?",TRUE
341,"TERM",NA,"monopile foundation","monopile foundations (TERM)","monopile foundations?",TRUE
331,"TERM",NA,"renewables industry","renewables industry (TERM)","renewables (industry|sector)",TRUE
324,"TERM",NA,"cable route","cable route (TERM)","cable route",TRUE
312,"TERM",NA,"energy market","energy market (TERM)","energy market",TRUE
295,"TERM",NA,"cable systems","cable systems (TERM)","cable systems?",TRUE
287,"TERM",NA,"LCOE","Levelized Cost of Energy (TERM)","Leveli(s|z)ed( |-)Cost( |-)of( |-)(Energy|Electricity)|\bLCOE\b",TRUE
286,"TERM",NA,"power systems","power systems (TERM)","power systems?",TRUE
284,"TERM",NA,"rotor blade","rotor blade (TERM)","rotor blades?",TRUE
281,"TERM",NA,"converter stations","converter stations (TERM)","converter stations?",TRUE
280,"TERM",NA,"onshore wind","onshore wind (TERM)","onshore wind",TRUE
272,"TERM",NA,"weather conditions","weather conditions (TERM)","weather conditions",TRUE
271,"TERM",NA,"turbine manufacturer","turbine manufacturers (TERM)","turbine manufacturers?",TRUE
270,"TERM",NA,"AC","Alternate Current (TERM)","\bAC\b",FALSE
270,"TERM",NA,"test sites","test sites (TERM)","test sites?",TRUE
261,"TERM",NA,"low carbon","low carbon (TERM)","low carbon",TRUE
259,"TERM",NA,"energy companies","energy companies (TERM)","energy compan(y|ies)",TRUE
255,"TERM",NA,"DolWin","DolWin (TERM)","DolWin",FALSE
225,"TERM",NA,"tidal turbine","tidal turbine (TERM)","tidal turbines?",TRUE
220,"TERM",NA,"DP","Dynamic Positioning (TERM)","\bDP\b|Dynamic Positioning",FALSE
220,"TERM",NA,"MOU","Memorandum of Understanding (TERM)","(M|m)emorandum of (U|u)nderstanding|\bM(O|o)U\b",FALSE
219,"TERM",NA,"turbine blade","turbine blade (TERM)","turbine blades?",TRUE
217,"TERM",NA,"offshore platform","offshore platform (TERM)","offshore platform",TRUE
216,"TERM",NA,"suction bucket","suction bucket (TERM)","suction bucket",TRUE
215,"TERM",NA,"elec. production","electricity production) (TERM)","electricity (generation|production)",TRUE
214,"TERM",NA,"turbine foundation","turbine foundations (TERM)","turbine foundations?",TRUE
212,"TERM",NA,"OWA","Offshore Wind Accelerator Service (TERM)","(O|o)ffshore (W|w)ind (A|a)ccelerator( program)?|\bOWA\b",TRUE
203,"TERM",NA,"UXO","Unexploded ordnance (TERM)","Unexploded Ordnance|\bUXO\b",TRUE
203,"TERM",NA,"FID","Final Investment Decision (TERM)","Final Investment Decision|\bFID\b",TRUE
202,"TERM",NA,"Wave Power","Wave Power (TERM)","Wave Power",TRUE
199,"TERM",NA,"power cables","power cables (TERM)","power cables",TRUE
198,"TERM",NA,"EPC(I)","Engineering Procurement Construction & Installation (TERM)","engineering, procurement(,| and| &) construction((,| and| &) installation)?|\bEPCI?\b",TRUE
198,"TERM",NA,"WEC","Wave Energy Converter (TERM)","Wave Energy Conver(ter|sion)|\bWEC\b",TRUE
198,"TERM",NA,"Motion Compensation","Motion Compensation (Platform) (TERM)","(M|m)otion( |-)(C|c)ompensat(ion|ed)( platforms?)?",FALSE
197,"TERM",NA,"OFTO","Offshore Transmission Owner (TERM)","(O|o)ffshore (T|t)ransmission (|O|o)wners?|\bOFTOs?",FALSE
191,"TERM",NA,"inter-array cables","inter-array cables (TERM)","inter-array cables",TRUE
188,"TERM",NA,"offshore services","offshore services (TERM)","offshore services?",TRUE
182,"TERM",NA,"test facility","test facility (TERM)","test facilit(y|ies)",TRUE
181,"TERM",NA,"floating wind turbine","floating wind turbine (TERM)","floating wind turbine",TRUE
177,"TERM",NA,"HVAC","High Voltage AC (TERM)","\bHVAC\b",FALSE
176,"TERM",NA,"wave heights","wave heights (TERM)","wave heights?",TRUE
171,"TERM",NA,"CfD","Contract for Difference (TERM)","Contracts? for Difference|CfD",FALSE
166,"TERM",NA,"financial close","financial close (TERM)","financial close",TRUE
163,"TERM",NA,"WTG","Wind Turbine Generator (TERM)","(W|w)ind (T|t)urbine (G|g)enerators?|\bWTG\b",FALSE
161,"TERM",NA,"CO2 emissions","CO2 emissions (TERM)","(CO2|carbon) emissions",TRUE
161,"TERM",NA,"best practice","best practice (TERM)","best practices?",TRUE
161,"TERM",NA,"green energy","green energy (TERM)","green energy",TRUE
161,"TERM",NA,"research project","research project (TERM)","research project",TRUE
157,"TERM",NA,"power station","power station (TERM)","power stations?",TRUE
156,"TERM",NA,"CETO","Cylindrical Energy Transfer Oscillating (TERM)","(C|c)ylindrical (E|e)nergy (T|t)ransfer (O|o)scillating|\bCETO\b",FALSE
153,"TERM",NA,"electricity grid","electricity grid (TERM)","electricity grid",TRUE
148,"TERM",NA,"energy converter","energy converter (TERM)","energy converter",TRUE
148,"TERM",NA,"energy transition","energy transition (TERM)","energy transitions?",TRUE
146,"TERM",NA,"CPS","Cable Protection System (TERM)","(C|c)able (P|p)rotection (S|s)ystems?|\bCPS\b",FALSE
146,"TERM",NA,"energy supply","energy supply (TERM)","energy supply",TRUE
144,"TERM",NA,"grid connections","grid connections (TERM)","grid connections",TRUE
144,"TERM",NA,"rotor diameter","rotor diameter (TERM)","rotor diameter",TRUE
143,"TERM",NA,"floating foundation","floating foundations (TERM)","floating foundations?",TRUE
143,"TERM",NA,"cable protection","cable protection (TERM)","cable protection",TRUE
143,"TERM",NA,"energy efficiency","energy efficiency (TERM)","energy efficiency",TRUE
140,"TERM",NA,"TSO","Transmission Systems Operator (TERM)","(T|t)ransmission (S|s)ystems (O|o)perators?|\bTSO\b",FALSE
137,"TERM",NA,"renewable sources","renewable sources (TERM)","renewable sources",TRUE
137,"TERM",NA,"shallow water","shallow water (TERM)","shallow water",TRUE
135,"TERM",NA,"OCS","Outer Continental Shelf (TERM)","(Outer )?Continental Shelf|\bOCS\b",TRUE
133,"TERM",NA,"project developers","project developers (TERM)","project developers?",TRUE
131,"TERM",NA,"fossil fuels","fossil fuels (TERM)","fossil fuels",TRUE
130,"TERM",NA,"commercial operation","commercial operation (TERM)","commercial operation",TRUE
129,"TERM",NA,"sister vessels","sister vessel (TERM)","sister vessels?",TRUE
126,"TERM",NA,"management system","management system (TERM)","management systems?",TRUE
124,"TERM",NA,"onshore grid","onshore grid (TERM)","onshore grid",TRUE
124,"TERM",NA,"safety training","safety training (TERM)","safety training",TRUE
124,"TERM",NA,"wind energy sector","wind energy sector (TERM)","wind energy sector",TRUE
122,"TERM",NA,"SMEs","small and medium-sized enterprises (TERM)","small and medium(-sized)? enterprises?|\bSMEs?\b",TRUE
120,"TERM",NA,"lifting capacity","lifting capacity (TERM)","lifting capacity",TRUE
118,"TERM",NA,"project development","project development (TERM)","project development",TRUE
117,"TERM",NA,"renewable electricity","renewable electricity (TERM)","renewable electricity",TRUE
115,"TERM",NA,"OTM","Offshore Transformer Module (TERM)","(O|o)ffshore (T|t)ransformer (M|m)odules?|\bOTMs?\b",FALSE
111,"TERM",NA,"maintenance costs","maintenance costs (TERM)","maintenance costs?",TRUE
110,"TERM",NA,"energy policy","energy policy (TERM)","energy policy",TRUE
109,"TERM",NA,"scour protection","scour protection (TERM)","scour protection",TRUE
108,"TERM",NA,"deck space","deck space (TERM)","(D|d)eck space",FALSE
107,"TERM",NA,"compensated gangway","compensated gangway (TERM)","compensated gangway",TRUE
106,"TERM",NA,"electricity market","electricity market (TERM)","electricity market",TRUE
106,"TERM",NA,"energy solutions","energy solutions (TERM)","energy solutions?",TRUE
105,"TERM",NA,"nuclear power","nuclear power (TERM)","nuclear power",TRUE
105,"TERM",NA,"power industry","power industry (TERM)","power industry",TRUE
105,"TERM",NA,"tidal stream","tidal stream (TERM)","tidal stream",TRUE
103,"TERM",NA,"framework agreement","framework agreement (TERM)","framework agreement",TRUE
101,"TERM",NA,"Dev. Manager","Business Development Manager (TERM)","Business Development Manager",TRUE
101,"TERM",NA,"power capacity","power capacity (TERM)","power capacity",TRUE
100,"TERM",NA,"control systems","control systems (TERM)","control systems",TRUE
99,"TERM",NA,"JIP","Joint Industry Project (TERM)","\bJIP\b|(J|j)oint (I|i)ndustry (P|p)roject",FALSE
99,"TERM",NA,"transmission assets","transmission assets (TERM)","transmission assets?",TRUE
96,"TERM",NA,"electricity transmission","electricity transmission (TERM)","electricity transmission",TRUE
95,"TERM",NA,"marine mammals","marine mammals (TERM)","marine mammals",TRUE
95,"TERM",NA,"permanent magnet","permanent magnet (TERM)","permanent magnet",TRUE
92,"TERM",NA,"offshore sector","offshore sector (TERM)","offshore sector",TRUE
90,"TERM",NA,"COO","Chief Operating Officer (TERM)","(C|c)hief (O|o)perating (O|o)fficer|\bCOO\b",FALSE
88,"TERM",NA,"PPA","Power Purchase Agreement (TERM)","Power Purchase Agreement|\bPPA(s)?\b",TRUE
86,"TERM",NA,"tidal lagoon","tidal lagoon (TERM)","tidal lagoon",TRUE
85,"TERM",NA,"natural gas","natural gas (TERM)","natural gas",TRUE
85,"TERM",NA,"spare parts","spare parts (TERM)","spare parts",TRUE
84,"TERM",NA,"carbon energy","carbon energy (TERM)","carbon energy",TRUE
84,"TERM",NA,"heavy industries","heavy industries (TERM)","heavy industries",TRUE
84,"TERM",NA,"marine coordination","marine coordination (TERM)","marine coordination",TRUE
84,"TERM",NA,"marine engineering","marine engineering (TERM)","marine engineering",TRUE
84,"TERM",NA,"nautical miles","nautical miles (TERM)","nautical miles",TRUE
84,"TERM",NA,"power production","power production (TERM)","power production",TRUE
84,"TERM",NA,"solar power","solar power (TERM)","solar power",TRUE
83,"TERM",NA,"PPE","published Energy Plan (TERM)","((p|P)ublished)? (e|E)nergy (p|P)lan( \(PPE\))?|\bPPE\b",FALSE
82,"TERM",NA,"turbine technology","turbine technology (TERM)","turbine technology",TRUE
81,"TERM",NA,"RCS","Reactive Compensation (Sub)station (TERM)","Reactive Compensation (Sub)?station|\bRCS\b",TRUE
81,"TERM",NA,"continental shelf","continental shelf (TERM)","continental shelf",TRUE
80,"TERM",NA,"PV","solar photovoltaic (TERM)","(S|s)olar (P|p)hotovoltaic|\bPV\b",FALSE
78,"TERM",NA,"swire blue","swire blue (TERM)","swire blue",TRUE
78,"TERM",NA,"tidal transit","tidal transit (TERM)","tidal transit",TRUE
77,"TERM",NA,"bucket foundations","bucket foundations (TERM)","bucket foundations?",TRUE
76,"TERM",NA,"OHVS","Offshore High Voltage Substation (TERM)","Offshore High Voltage Substation|\bOHVS\b",TRUE
76,"TERM",NA,"RFP","Request for Proposal (TERM)","Request for Proposal|\b(R(F|f)P)\b",TRUE
73,"TERM",NA,"MHK","Marine Hydrokinetic (TERM)","\bMHK\b|(M|m)arine( and)? (H|h)ydrokinetic",FALSE
71,"TERM",NA,"commercial scale","commercial scale (TERM)","commercial scale",TRUE
69,"TERM",NA,"OTEC","Ocean Thermal Energy Conversion (TERM)","\bOTEC\b|(O|o)cean (T|t)hermal (E|e)nergy (C|c)onversion",FALSE
69,"TERM",NA,"VSC","Voltage Source Converter (TERM)","(V|v)oltage (S|s)ource (C|c)onverter|\bVSC\b",FALSE
65,"TERM",NA,"FY","fiscal year (TERM)","fiscal year|\bFY\b",FALSE
64,"TERM",NA,"MOG","Modular Offshore Grid (TERM)","Modular Offshore Grid|\bMOG\b",TRUE
63,"TERM",NA,"CGS","Combined Grid Solution (TERM)","Combined Grid Solution|\bCGS\b",TRUE
62,"TERM",NA,"Power Conversion","Power Conversion (TERM)","Power Conversion",TRUE
58,"TERM",NA,"GIS","Geographic Information System (TERM)","Geographic Information System|\bGIS\b",FALSE
